PROJECT;STREET;LOCATION;COMP_DATE;URL_LINK;Geom;geo_point_2d
Both Sides of 400 Block of Vernon Dr from Lane North of 1100 Block of E Pender S;;Both Sides of 400 Block of Vernon Dr from Lane North of 1100 Block of E Pender S;2025-11-20;http://vanmapp1.vancouver.ca/roadahead/events/details/11a5b687-6a73-486d-a157-f856a15508b8;"{""coordinates"": [[-123.07919554111317, 49.280473773155336], [-123.07920632503284, 49.279951038665786]], ""type"": ""LineString""}";49.28021240591056, -123.079200933073
East Side of 1100 Block of Bidwell St from Davie St to See-em-ia Lane and South;;East Side of 1100 Block of Bidwell St from Davie St to See-em-ia Lane and South;2025-11-21;http://vanmapp1.vancouver.ca/roadahead/events/details/12f56be9-c024-477a-b8f8-7b2b37d52e18;"{""coordinates"": [[[-123.13972176222764, 49.2865930141532], [-123.14025887653892, 49.28624552599376]], [[-123.14025678663162, 49.286225085437536], [-123.13988268748247, 49.28597434721664]]], ""type"": ""MultiLineString""}";49.286287249007906, -123.1400231301578
L/W Oak St - W 27th Av to W 9th Av;;L/W Oak St - W 27th Av to W 9th Av;2025-11-26;http://vanmapp1.vancouver.ca/roadahead/events/details/5a98986a-1604-4845-9834-e9c8a6c9fe1c;"{""coordinates"": [[[-123.12834903400865, 49.24724750328073], [-123.12836472356973, 49.246785760519515]], [[-123.12836472356973, 49.246785760519515], [-123.12838033682115, 49.24632649149328]], [[-123.12838033682115, 49.24632649149328], [-123.12839570604346, 49.24587389716393]], [[-123.12839570604346, 49.24587389716393], [-123.12841158636657, 49.24540656803231]]], ""type"": ""MultiLineString""}";49.24632703571696, -123.12838031196637
E 20th Av - Clark Dr to Knight St;;E 20th Av - Clark Dr to Knight St;2025-11-19;http://vanmapp1.vancouver.ca/roadahead/events/details/7a13bc14-9d74-4541-81cf-7f5fe2bbc51b;"{""coordinates"": [[-123.07796729750848, 49.25262838289396], [-123.07604061299644, 49.252600436327214]], ""type"": ""LineString""}";49.25261440961059, -123.07700395525245
Both Sides of the Street of 5700-5900 Block of Highbury St. From 85m South of W;;Both Sides of the Street of 5700-5900 Block of Highbury St. From 85m South of W;2025-11-27;http://vanmapp1.vancouver.ca/roadahead/events/details/926cc261-cdcf-4e8e-8d8d-1ad43814d7bc;"{""coordinates"": [[-123.1884049870168, 49.23396409730009], [-123.18842654658359, 49.233348190228725]], ""type"": ""LineString""}";49.23365614376441, -123.18841576680019
Kersland Dr - W 35th Av to W 37th Av;;Kersland Dr - W 35th Av to W 37th Av;2025-11-14;http://vanmapp1.vancouver.ca/roadahead/events/details/980b4a46-f9ca-4c7a-be32-c9c91bf33643;"{""coordinates"": [[-123.11544888345814, 49.239701747919725], [-123.11462251931519, 49.23897398147048], [-123.1144831328449, 49.23856460807423], [-123.11445326425043, 49.23802526929299], [-123.1144831328449, 49.23712852496601]], ""type"": ""LineString""}";49.238533677138136, -123.1146908507037
Bayswater St between W 6th and W 7th Av;;Bayswater St between W 6th and W 7th Av;2026-06-24;http://vanmapp1.vancouver.ca/roadahead/events/details/98cda8a2-a5e8-41b7-af15-c4cfb742076e;"{""coordinates"": [[-123.17114447861454, 49.266648939185586], [-123.17117232799235, 49.26587474197456]], ""type"": ""LineString""}";49.26626184058007, -123.17115840330345
E 22nd Ave from Welwyn to Commercial St;;E 22nd Ave from Welwyn to Commercial St;2026-06-26;http://vanmapp1.vancouver.ca/roadahead/events/details/9bcb9dfb-2439-43f4-b227-8ea369d577c7;"{""coordinates"": [[-123.06943131525497, 49.25034743334149], [-123.06813714219895, 49.25032458541489]], ""type"": ""LineString""}";49.250336009378195, -123.06878422872697
Alignment is along Highbury Street through Memorial West Park, between W 31st Av;;Alignment is along Highbury Street through Memorial West Park, between W 31st Av;2026-02-01;http://vanmapp1.vancouver.ca/roadahead/events/details/9d7ad385-d4e0-46fb-8e14-7a40f958b1ef;"{""coordinates"": [[-123.18815934348683, 49.24519436177815], [-123.18817356592662, 49.241433898919325]], ""type"": ""LineString""}";49.243314130348736, -123.18816645470673
W 1th Av from Dunbar St to Collingwood St;;W 1th Av from Dunbar St to Collingwood St;2026-01-01;http://vanmapp1.vancouver.ca/roadahead/events/details/c78471a8-0098-47c4-980a-febc35e628ea;"{""coordinates"": [[-123.18191483577667, 49.262492146466656], [-123.18385071541186, 49.26252337199773]], ""type"": ""LineString""}";49.26250775923219, -123.18288277559427
Fir St  Off-Ramp;;Fir St  Off-Ramp;2025-12-16;http://vanmapp1.vancouver.ca/roadahead/events/details/ca55b5ab-70e3-4c32-b39c-47b09e49c257;"{""coordinates"": [[-123.13947926712845, 49.26853242075305], [-123.13961406802444, 49.2684474601983], [-123.13968424522147, 49.26840019555567], [-123.13973781357743, 49.26836625485896], [-123.13977769191911, 49.268332672516976], [-123.13981719713613, 49.268298406977294], [-123.13984142617718, 49.26827230956508], [-123.13986944129614, 49.26824346402839], [-123.13988525874544, 49.26822256701956], [-123.1399023911659, 49.268195173881566], [-123.13991788248563, 49.268170760139554], [-123.1399327272269, 49.268146167274466], [-123.13994692544148, 49.268121413276816], [-123.13996044966386, 49.26809650717527], [-123.13997329986958, 49.26807143997502], [-123.13998548988164, 49.26804623864504], [-123.13999700592976, 49.26802089420701], [-123.14000784806575, 49.26799542465156], [-123.14001800257022, 49.26796983899061], [-123.14057127415737, 49.26593344494037], [-123.14059909811574, 49.26586212409319], [-123.14063835542842, 49.265775380537235], [-123.14069769804809, 49.26566093426598], [-123.14075809832302, 49.26555599460468], [-123.14079571158697, 49.265485813165355], [-123.14082448197873, 49.26542848764359], [-123.14086355370237, 49.26534440681124], [-123.1409068428391, 49.265245073948506], [-123.1409289026027, 49.2651867761046], [-123.1409395542852, 49.26515273425042], [-123.14095348541629, 49.265097423728974], [-123.1409609320074, 49.265057691817304], [-123.14097009098958, 49.26496770160216], [-123.14098392003156, 49.26454852612369]], ""type"": ""LineString""}";49.26662636739607, -123.14038724550365
- Both Sides of Lane East of 2800 Block of Nanaimo St from Grandview Hwy North t;;- Both Sides of Lane East of 2800 Block of Nanaimo St from Grandview Hwy North t;2025-11-19;http://vanmapp1.vancouver.ca/roadahead/events/details/06ed6975-06bc-4500-8e88-f2db4ed406ff;"{""coordinates"": [[[-123.05598788121418, 49.25868915483264], [-123.05598788121418, 49.258288281853225], [-123.05604152539449, 49.25830053566065], [-123.0561005339928, 49.25831804109458]], [[-123.05599592784124, 49.258290032397326], [-123.05592619040685, 49.258272526953476], [-123.05584572413638, 49.25825502150337], [-123.05578135112005, 49.258242767684635], [-123.05570088484957, 49.25822876331662], [-123.0556123719521, 49.25821475894466], [-123.0555238590546, 49.25820425566312]], [[-123.05599056342321, 49.25868740430266], [-123.05540315964892, 49.258683903242485]]], ""type"": ""MultiLineString""}";49.25847314926717, -123.05581542365708
Various Locations;;Various Locations;2026-04-01;http://vanmapp1.vancouver.ca/roadahead/events/details/1cbc4ee7-698c-4ceb-bcc7-9c9d5c2814d5;"{""coordinates"": [[[-123.10296232191241, 49.26331509000124], [-123.10297621915663, 49.26296573076257]], [[-123.10297621915663, 49.26296573076257], [-123.10299604033806, 49.26253066887506]], [[-123.11291515457648, 49.263187640128876], [-123.11293345949241, 49.26268651720608]], [[-123.11491784815064, 49.262718004765446], [-123.11753622444502, 49.262760158011474]], [[-123.12418833376523, 49.26385173035064], [-123.12420590913786, 49.26337366117119]], [[-123.12420590913786, 49.26337366117119], [-123.12422466571381, 49.26286802036566]], [[-123.14812689528398, 49.26423539325219], [-123.14814539417256, 49.26375735519022]]], ""type"": ""MultiLineString""}";49.26301034265017, -123.11828769589711
B/S of 1100 blk of Chilco St;;B/S of 1100 blk of Chilco St;2025-11-29;http://vanmapp1.vancouver.ca/roadahead/events/details/6f821599-a1a0-44db-96e2-be0874285c3d;"{""coordinates"": [[-123.14370648224629, 49.28987499265915], [-123.14425625120018, 49.289516414248965]], ""type"": ""LineString""}";49.28969570345406, -123.14398136672325
1) Both sides of 2500 Block of Stephens St from W 10th Ave to lane n/o W 10th Av;;1) Both sides of 2500 Block of Stephens St from W 10th Ave to lane n/o W 10th Av;2025-11-19;http://vanmapp1.vancouver.ca/roadahead/events/details/70adfbd4-5a69-4c85-8af2-20664ed15a98;"{""coordinates"": [[[-123.16629543216328, 49.26319445883806], [-123.1662846482436, 49.26346881246556], [-123.16637451402157, 49.26362592033777]], [[-123.1668166547285, 49.26405737806502], [-123.16468503338116, 49.26401517041734]]], ""type"": ""MultiLineString""}";49.263927308838156, -123.16584853790499
Both Sides of the Street of 1200 Block of Napier St. From Vernon Dr to Clark Dr;;Both Sides of the Street of 1200 Block of Napier St. From Vernon Dr to Clark Dr;2025-11-27;http://vanmapp1.vancouver.ca/roadahead/events/details/774789a3-c168-4901-9838-5e10ebb492b5;"{""coordinates"": [[-123.07867025230658, 49.27495663157234], [-123.07726349057168, 49.274949598520834]], ""type"": ""LineString""}";49.274953115046586, -123.07796687143913
Between Oak Street (west) and Hudson Street (east), from the south side of the W;;Between Oak Street (west) and Hudson Street (east), from the south side of the W;2026-04-30;http://vanmapp1.vancouver.ca/roadahead/events/details/7ed4d284-aef8-48c2-8e07-cb12f97a7f20;"{""coordinates"": [[[-123.12838026777656, 49.24586828976922], [-123.12926857275839, 49.2458810979318]], [[-123.12925213047927, 49.246335375667826], [-123.12926857275839, 49.2458810979318]], [[-123.12923550838973, 49.246794573959335], [-123.12925213047927, 49.246335375667826]], [[-123.12836489843437, 49.246320884076624], [-123.12838026777656, 49.24586828976922]], [[-123.12834928506139, 49.24678015308055], [-123.12836489843437, 49.246320884076624]], [[-123.12834928506139, 49.24678015308055], [-123.12923550838973, 49.246794573959335]], [[-123.12833359537797, 49.247241895819286], [-123.12834928506139, 49.24678015308055]], [[-123.13060377233911, 49.24727823814905], [-123.13062039048387, 49.24681708773451]], [[-123.12921880956934, 49.247256075077075], [-123.12923550838973, 49.246794573959335]], [[-123.12921880956934, 49.247256075077075], [-123.12990070361347, 49.24726698619082]], [[-123.12920216031333, 49.247715624134514], [-123.12921880956934, 49.247256075077075]], [[-123.12990070361347, 49.24726698619082], [-123.13060377233911, 49.24727823814905]], [[-123.1305871916027, 49.24773805718749], [-123.13060377233911, 49.24727823814905]], [[-123.13205513626171, 49.24776183612133], [-123.13207215605136, 49.24730173751601]], [[-123.1305871916027, 49.24773805718749], [-123.13205513626171, 49.24776183612133]], [[-123.13057059803619, 49.248198334958005], [-123.1305871916027, 49.24773805718749]], [[-123.13205513626171, 49.24776183612133], [-123.13441267765032, 49.247799973673125]], [[-123.13062039048387, 49.24681708773451], [-123.13208917373356, 49.24684096423118]], [[-123.13208917373356, 49.24684096423118], [-123.13444521518551, 49.24687921976519]], [[-123.13065340883833, 49.2459010567122], [-123.13067009105492, 49.245438493855374]], [[-123.13063694501557, 49.24635797927061], [-123.13065340883833, 49.2459010567122]], [[-123.13062039048387, 49.24681708773451], [-123.13063694501557, 49.24635797927061]], [[-123.12925213047927, 49.246335375667826], [-123.12993497425019, 49.246346519390954]], [[-123.12926857275839, 49.2458810979318], [-123.12928541147775, 49.245415638636075]], [[-123.13065340883833, 49.2459010567122], [-123.13212313324763, 49.24592223313826]], [[-123.13212655512521, 49.245829803185615], [-123.13320041189225, 49.2459231999413], [-123.134334638798, 49.24612568270348], [-123.13447172250747, 49.2461567816658]]], ""type"": ""MultiLineString""}";49.24678274789856, -123.13113681456431
"Dundas St - Cassiar St to Skeena St
Triumph St - Cassiar St to Kootenay St
Pan";;"Dundas St - Cassiar St to Skeena St
Triumph St - Cassiar St to Kootenay St
Pan";2025-12-05;http://vanmapp1.vancouver.ca/roadahead/events/details/85bf5084-b8cf-4410-bd22-b7fef0e4830f;"{""coordinates"": [[[-123.03090050473189, 49.2847736394923], [-123.02833094849562, 49.28477713870129]], [[-123.03088246319862, 49.2838690403606], [-123.02571101721716, 49.28386033482343]], [[-123.03090344086705, 49.282973630735455], [-123.02833476444256, 49.28296613360547]]], ""type"": ""MultiLineString""}";49.2838687251026, -123.02895495034613
B/S of 2300-2500 blk Maple St;;B/S of 2300-2500 blk Maple St;2025-11-26;http://vanmapp1.vancouver.ca/roadahead/events/details/887394d4-c365-4a87-b822-6c399fea74b8;"{""coordinates"": [[-123.15044983743788, 49.26550187957949], [-123.15060381222213, 49.262811256013606]], ""type"": ""LineString""}";49.26415656779655, -123.15052682482998
Hemlock On-Ramp;;Hemlock On-Ramp;2026-02-28;http://vanmapp1.vancouver.ca/roadahead/events/details/a44edc6f-a110-45dd-b5a6-f652404374c1;"{""coordinates"": [[-123.1376784668858, 49.26953783310583], [-123.13769203880359, 49.2695196376375], [-123.1376994608411, 49.269509419242496], [-123.13770873070314, 49.26949635616208], [-123.1377193823676, 49.2694809346919], [-123.1377294988749, 49.2694658556762], [-123.13773801262968, 49.26945277550419], [-123.137746758137, 49.269439002424974], [-123.13775669287139, 49.26942282620922], [-123.13776527168577, 49.269408432658565], [-123.13777421851114, 49.26939291426859], [-123.13778581703495, 49.26937198660153], [-123.13779630524039, 49.26935218465712], [-123.13780923746575, 49.269326442965706], [-123.13781485449326, 49.2693147155224], [-123.13782172762062, 49.26929991921776], [-123.13782641356192, 49.26928950618341], [-123.1378338301134, 49.269272406458924], [-123.13783828178867, 49.269261786813956], [-123.13784449333244, 49.26924636163315], [-123.13784746884035, 49.26923876613557], [-123.13785210839431, 49.269226509139685], [-123.13785704687726, 49.26921300145432], [-123.13786010192557, 49.26920435342322], [-123.13787372977237, 49.269161888819326], [-123.13787890554606, 49.26914474678935], [-123.13788290644521, 49.269130223763995], [-123.13788759821574, 49.269112047863246], [-123.13789117205296, 49.26909719252478], [-123.13789453922023, 49.26908216652407], [-123.13789782200355, 49.26906645698881], [-123.13790031543385, 49.26905359087834], [-123.13790349567289, 49.26903561467509], [-123.1379057253924, 49.269021840364076], [-123.13790758697517, 49.26900914591627], [-123.1379094721128, 49.268995039194095], [-123.13791195523781, 49.268973546699556], [-123.137913730987, 49.26895471762819], [-123.1379149112105, 49.26893922648648], [-123.1379161704803, 49.268917573538886], [-123.1379166973357, 49.26890439494309], [-123.137917129278, 49.26888675484179], [-123.13791797340063, 49.26886904228681], [-123.13791924237103, 49.268850870469436], [-123.13791989192744, 49.26882253481614], [-123.13791964810089, 49.26880903331289], [-123.1379185886764, 49.268788957292344], [-123.13791645046949, 49.268766516821955], [-123.13791519979483, 49.26875673153776], [-123.13791305734135, 49.26874262962218], [-123.13790923394711, 49.2687221880972], [-123.1379029881094, 49.268695686698806], [-123.13789707433028, 49.26867488786016], [-123.13789294220274, 49.26866203865137], [-123.13788906201721, 49.26865080827767], [-123.13788428395821, 49.26863800481536], [-123.13787813823237, 49.26862275629054], [-123.13787384928374, 49.268612821712765], [-123.13786852455186, 49.26860115229724], [-123.13786151514572, 49.268586732360376], [-123.13785221454164, 49.2685689509519], [-123.13784313859078, 49.26855286037221], [-123.1378270241987, 49.26852672155442], [-123.13781409075658, 49.26850753222976], [-123.13779673222861, 49.26848380560506], [-123.13776112013866, 49.26844071608667], [-123.13771270573821, 49.26839093139711], [-123.13765745063507, 49.26834282794428], [-123.13759465437887, 49.26829661344206], [-123.13752393449931, 49.26825315187273], [-123.13744507907344, 49.268205427217595], [-123.13736951654815, 49.268160397153565], [-123.13728983936475, 49.268113644850445], [-123.13720953107196, 49.26806727103997], [-123.13712768300063, 49.268020755077515], [-123.13704633277193, 49.26797526391911], [-123.13694671642467, 49.2679205382928], [-123.13684169313825, 49.26786398396297], [-123.13678346036477, 49.26783214693788], [-123.13670403737794, 49.26778745382853], [-123.13664833533913, 49.2677560994816], [-123.13659509772913, 49.26772614544561], [-123.13653388900399, 49.267691703203894], [-123.1365021970873, 49.26767387617957], [-123.13647130365996, 49.26765648896827], [-123.13644107106484, 49.26763946977158], [-123.13641546426062, 49.2676250627091], [-123.13638784747627, 49.267609524618166], [-123.1363589641229, 49.26759326839928], [-123.1363347232204, 49.26758068573267], [-123.13630607506461, 49.267564968935034], [-123.13627573053586, 49.26754719422996], [-123.13625933149645, 49.26753706698338], [-123.13623913073378, 49.26752406575275], [-123.13621530618028, 49.26750791147509], [-123.1361923467275, 49.267491432345565], [-123.13616510038602, 49.26747059559085], [-123.13614579948774, 49.26745490371806], [-123.1361158997448, 49.26742887984685], [-123.13610428255222, 49.2674181262758], [-123.13608362247473, 49.26739801934963], [-123.13607001699586, 49.26738402084905], [-123.13605770564166, 49.26737075842945], [-123.13604700594483, 49.26735873544874], [-123.1360374908494, 49.267347610592395], [-123.13602812629235, 49.267336242687634], [-123.13601653947299, 49.2673215221879], [-123.13600445368962, 49.26730530007566], [-123.13599500113665, 49.26729191734648], [-123.13598575375923, 49.26727816557181], [-123.1359766688869, 49.26726352308012], [-123.13596944222073, 49.267249804906754], [-123.13596302904465, 49.26723699429104], [-123.13595612975912, 49.26722235822098], [-123.13595104002127, 49.2672109492988], [-123.13594518735917, 49.26719702261744], [-123.13593798885061, 49.26717853695186], [-123.13593304374947, 49.267164735134884], [-123.13592840046046, 49.267150717077755], [-123.13592533543566, 49.26714079897582], [-123.13592133856291, 49.26712691508595], [-123.13591762943484, 49.267112698034936], [-123.13591399917482, 49.26709716759157], [-123.13591026484139, 49.267078776796126], [-123.13590679944254, 49.26705820884533], [-123.1359036101521, 49.26703307100695], [-123.13590163551108, 49.267009766760935], [-123.13590049951542, 49.266976512834844], [-123.13590501303811, 49.26689324793418], [-123.13590724777148, 49.26680606380438], [-123.13590913327658, 49.26673186016123], [-123.13591118217319, 49.26665208829448], [-123.13591362757963, 49.26655653837443], [-123.1359160840045, 49.26645999896749], [-123.13591743660433, 49.26640196932169], [-123.13592140105541, 49.266349027887856], [-123.13593016866461, 49.26630328596053], [-123.13594264432452, 49.266261389616574], [-123.13596050248788, 49.266217436030956], [-123.13597781075507, 49.26618346776519], [-123.13600026554471, 49.26614660597863]], ""type"": ""LineString""}";49.26786832232676, -123.13688065967763
Both Sides of the Street of 1900 Block of E Kent Av South. From Victoria Dr to 6;;Both Sides of the Street of 1900 Block of E Kent Av South. From Victoria Dr to 6;2025-11-22;http://vanmapp1.vancouver.ca/roadahead/events/details/dd024871-4b51-4f9c-ab67-298353c0d519;"{""coordinates"": [[-123.06617419071094, 49.20721953015422], [-123.06705813295052, 49.20746602419038]], ""type"": ""LineString""}";49.2073427771723, -123.06661616183072
- Both Sides of Lane West of 2100-2200 Block of Granville St from 10m North of W;;- Both Sides of Lane West of 2100-2200 Block of Granville St from 10m North of W;2025-11-27;http://vanmapp1.vancouver.ca/roadahead/events/details/f32a089a-6e72-4707-a138-336a40429282;"{""coordinates"": [[[-123.13918239473438, 49.26620279206949], [-123.13873876599203, 49.26619579101538]], [[-123.13920028296165, 49.2657873944018], [-123.13918418353244, 49.26634981392297]], [[-123.13920207192352, 49.26578272695761], [-123.13996232285484, 49.26579672918206]]], ""type"": ""MultiLineString""}";49.26598139825879, -123.13930189459344
